{'Temp': 28.61, 'Sun': 30, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 28, 'Ang': 90, 'Fan': 68 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 90, 'Fan': 65 },
{'Temp': 30.08, 'Sun': 29, 'Ang': 90, 'Fan': 99 },
{'Temp': 29.10, 'Sun': 31, 'Ang': 90, 'Fan': 68 },
{'Temp': 28.61, 'Sun': 29, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.61, 'Sun': 29, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.61, 'Sun': 25, 'Ang': 74, 'Fan': 59 },
{'Temp': 29.10, 'Sun': 25, 'Ang': 65, 'Fan': 59 },
{'Temp': 29.10, 'Sun': 24, 'Ang': 54, 'Fan': 55 },
{'Temp': 29.10, 'Sun': 24, 'Ang': 36, 'Fan': 49 },
{'Temp': 29.59, 'Sun': 26, 'Ang': 30, 'Fan': 49 },
{'Temp': 30.08, 'Sun': 27, 'Ang': 29, 'Fan': 99 },
{'Temp': 30.08, 'Sun': 27, 'Ang': 29, 'Fan': 99 },
{'Temp': 29.59, 'Sun': 27, 'Ang': 29, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 29, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 29, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 29, 'Fan': 45 },
{'Temp': 28.61, 'Sun': 27, 'Ang': 29, 'Fan': 45 },
{'Temp': 29.59, 'Sun': 27, 'Ang': 29, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 29, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 29, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 30, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 30, 'Fan': 45 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 32, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 27, 'Ang': 36, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 39, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 26, 'Ang': 42, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 26, 'Ang': 44, 'Fan': 49 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 47, 'Fan': 52 },
{'Temp': 28.61, 'Sun': 27, 'Ang': 49, 'Fan': 52 },
{'Temp': 28.61, 'Sun': 26, 'Ang': 52, 'Fan': 52 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 56, 'Fan': 55 },
{'Temp': 28.61, 'Sun': 26, 'Ang': 59, 'Fan': 55 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 62, 'Fan': 59 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 68, 'Fan': 59 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 76, 'Fan': 62 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 82, 'Fan': 65 },
{'Temp': 28.12, 'Sun': 26, 'Ang': 90, 'Fan': 62 },
{'Temp': 28.61, 'Sun': 26, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.61, 'Sun': 26, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 90, 'Fan': 65 },
{'Temp': 28.61, 'Sun': 26, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.59, 'Sun': 27, 'Ang': 90, 'Fan': 68 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 90, 'Fan': 65 },
{'Temp': 30.08, 'Sun': 27, 'Ang': 90, 'Fan': 99 },
{'Temp': 29.59, 'Sun': 26, 'Ang': 90, 'Fan': 68 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 90, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 88, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 84, 'Fan': 65 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 81, 'Fan': 62 },
{'Temp': 28.61, 'Sun': 26, 'Ang': 76, 'Fan': 59 },
{'Temp': 28.61, 'Sun': 26, 'Ang': 71, 'Fan': 59 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 67, 'Fan': 59 },
{'Temp': 29.10, 'Sun': 26, 'Ang': 63, 'Fan': 59 },
{'Temp': 28.12, 'Sun': 27, 'Ang': 81, 'Fan': 52 },
{'Temp': 29.59, 'Sun': 27, 'Ang': 81, 'Fan': 59 },
{'Temp': 28.12, 'Sun': 27, 'Ang': 81, 'Fan': 52 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 81, 'Fan': 55 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 81, 'Fan': 55 },
{'Temp': 28.61, 'Sun': 27, 'Ang': 81, 'Fan': 55 },
{'Temp': 28.61, 'Sun': 27, 'Ang': 81, 'Fan': 55 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 81, 'Fan': 55 },
{'Temp': 28.61, 'Sun': 27, 'Ang': 81, 'Fan': 55 },
{'Temp': 28.61, 'Sun': 27, 'Ang': 81, 'Fan': 55 },
{'Temp': 29.10, 'Sun': 27, 'Ang': 81, 'Fan': 55 },
{'Temp': 28.61, 'Sun': 27, 'Ang': 81, 'Fan': 55 },
{'Temp': 29.59, 'Sun': 27, 'Ang': 81, 'Fan': 59 },
{'Temp': 28.61, 'Sun': 27, 'Ang': 81, 'Fan': 55 },
{'Temp': 29.59, 'Sun': 27, 'Ang': 81, 'Fan': 59 },
{'Temp': 28.61, 'Sun': 26, 'Ang': 81, 'Fan': 55 },
{'Temp': 27.15, 'Sun': 20, 'Ang': 81, 'Fan': 49 },
{'Temp': 28.61, 'Sun': 20, 'Ang': 81, 'Fan': 52 },
{'Temp': 29.59, 'Sun': 20, 'Ang': 81, 'Fan': 55 },
{'Temp': 29.59, 'Sun': 20, 'Ang': 81, 'Fan': 55 },
{'Temp': 29.59, 'Sun': 20, 'Ang': 81, 'Fan': 55 },
{'Temp': 26.17, 'Sun': 20, 'Ang': 81, 'Fan': 45 },
{'Temp': 27.64, 'Sun': 20, 'Ang': 81, 'Fan': 49 },
{'Temp': 30.57, 'Sun': 20, 'Ang': 81, 'Fan': 99 },
{'Temp': 31.05, 'Sun': 20, 'Ang': 33, 'Fan': 99 },
{'Temp': 31.05, 'Sun': 20, 'Ang': 21, 'Fan': 99 },
{'Temp': 30.57, 'Sun': 20, 'Ang': 9, 'Fan': 99 },
{'Temp': 30.08, 'Sun': 20, 'Ang': 3, 'Fan': 99 },
{'Temp': 31.05, 'Sun': 19, 'Ang': 0, 'Fan': 99 },
{'Temp': 31.54, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 31.05, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 29.59, 'Sun': 20, 'Ang': 0, 'Fan': 35 },
{'Temp': 30.08, 'Sun': 19, 'Ang': 0, 'Fan': 99 },
{'Temp': 30.57, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 30.57, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 30.57, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 31.05, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 31.05, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 31.05, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 30.57, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 30.57, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 30.57, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 30.57, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 23.73, 'Sun': 20, 'Ang': 0, 'Fan': 15 },
{'Temp': 30.08, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 30.57, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 31.05, 'Sun': 20, 'Ang': 0, 'Fan': 99 },
{'Temp': 28.12, 'Sun': 20, 'Ang': 0, 'Fan': 32 },
{'Temp': 29.10, 'Sun': 20, 'Ang': 0, 'Fan': 35 },
